# opt_compare  before=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s1-d1  after=/home/user/ArmoniK.Api/ffi/poc/rust/../../logs/rust/opt/s2-e1  (CONTAINER INSTRUMENTATION)
# 3849 codec ratio rows in both runs (0 only before, 0 only after)

file	input	dir	mode	ratio	before	after	change	flag
codec-U	U-element-u-fixed32	encode	retain	core-ffi/inc	0.463	0.396	-14.4%	lower
codec-U	U-element-u-fixed64	decode	drop	core-ffi/core-native	1.219	1.554	+27.4%	higher
codec-U	U-element-u-fixed64	decode	drop	core-ffi/inc	0.949	1.208	+27.3%	higher
codec-U	U-element-u-fixed64	decode	retain	core-ffi/core-native	1.259	1.723	+36.9%	higher
codec-U	U-element-u-fixed64	decode	retain	core-ffi/inc	1.028	1.376	+33.8%	higher
codec-U	U-element-u-fixed64	decode-read	drop	core-ffi/core-native	1.202	1.496	+24.5%	higher
codec-U	U-element-u-fixed64	decode-read	drop	core-ffi/inc	0.967	1.209	+25.0%	higher
codec-U	U-element-u-fixed64	decode-read	retain	core-ffi/core-native	1.255	1.613	+28.5%	higher
codec-U	U-element-u-fixed64	decode-read	retain	core-ffi/inc	1.068	1.383	+29.6%	higher
codec-U	U-element-u-fixed64	encode	retain	core-native/inc	0.327	0.240	-26.6%	lower
codec-U	U-element-u-len	decode	drop	core-ffi/core-native	1.441	1.797	+24.7%	higher
codec-U	U-element-u-len	decode	drop	core-ffi/inc	1.129	1.388	+22.9%	higher
codec-U	U-element-u-len	decode	retain	core-ffi/core-native	1.560	1.984	+27.2%	higher
codec-U	U-element-u-len	decode	retain	core-ffi/inc	1.227	1.582	+29.0%	higher
codec-U	U-element-u-len	decode-read	drop	core-ffi/core-native	1.216	1.574	+29.4%	higher
codec-U	U-element-u-len	decode-read	drop	core-ffi/inc	0.971	1.245	+28.2%	higher
codec-U	U-element-u-len	decode-read	retain	core-ffi/core-native	1.240	1.746	+40.8%	higher
codec-U	U-element-u-len	decode-read	retain	core-ffi/inc	1.065	1.424	+33.7%	higher
codec-U	U-element-u-len	decode-read	retain	core-native/inc	0.859	0.816	-5.0%	lower
codec-U	U-element-u-len	encode	retain	core-ffi/core-native	1.939	1.584	-18.3%	lower
codec-U	U-element-u-len	encode	retain	core-ffi/inc	0.464	0.392	-15.6%	lower
codec-U	U-element-u-msg	decode	drop	core-ffi/core-native	1.425	1.581	+10.9%	higher
codec-U	U-element-u-msg	decode	drop	core-ffi/inc	0.948	1.206	+27.2%	higher
codec-U	U-element-u-msg	decode	retain	core-ffi/inc	1.044	1.377	+31.9%	higher
codec-U	U-element-u-msg	encode	retain	core-ffi/core-native	1.954	1.575	-19.4%	lower
codec-U	U-element-u-msg	encode	retain	core-ffi/inc	0.469	0.391	-16.8%	lower
codec-U	U-element-u-packed	decode	drop	core-ffi/inc	0.966	1.201	+24.3%	higher
codec-U	U-element-u-packed	decode	retain	core-ffi/core-native	1.252	1.691	+35.0%	higher
codec-U	U-element-u-packed	decode	retain	core-ffi/inc	1.026	1.351	+31.6%	higher
codec-U	U-element-u-packed	decode-read	drop	core-ffi/core-native	1.224	1.479	+20.8%	higher
codec-U	U-element-u-packed	decode-read	drop	core-ffi/inc	0.965	1.185	+22.8%	higher
codec-U	U-element-u-packed	decode-read	retain	core-ffi/core-native	1.249	1.689	+35.2%	higher
codec-U	U-element-u-packed	decode-read	retain	core-ffi/inc	1.031	1.355	+31.4%	higher
codec-U	U-element-u-packed	encode	drop	core-native/inc	0.192	0.207	+7.8%	higher
codec-U	U-element-u-packed	encode	retain	core-ffi/core-native	1.928	1.581	-18.0%	lower
codec-U	U-element-u-packed	encode	retain	core-native/inc	0.225	0.247	+9.9%	higher
codec-U	U-element-u-repeated	decode	drop	core-ffi/core-native	1.259	1.597	+26.8%	higher
codec-U	U-element-u-repeated	decode	drop	core-ffi/inc	0.989	1.227	+24.1%	higher
codec-U	U-element-u-repeated	decode	retain	core-ffi/core-native	1.299	1.734	+33.5%	higher
codec-U	U-element-u-repeated	decode	retain	core-ffi/inc	1.076	1.427	+32.6%	higher
codec-U	U-element-u-repeated	decode-read	drop	armonik/inc	0.999	0.903	-9.6%	lower
codec-U	U-element-u-repeated	decode-read	drop	core-ffi/core-native	1.208	1.711	+41.7%	higher
codec-U	U-element-u-repeated	decode-read	drop	core-ffi/inc	0.967	1.211	+25.2%	higher
codec-U	U-element-u-repeated	decode-read	drop	core-native/inc	0.801	0.708	-11.6%	lower
codec-U	U-element-u-repeated	decode-read	retain	armonik/inc	0.999	0.903	-9.6%	lower
codec-U	U-element-u-repeated	decode-read	retain	core-ffi/core-native	1.278	1.871	+46.4%	higher
codec-U	U-element-u-repeated	decode-read	retain	core-ffi/inc	1.060	1.410	+33.0%	higher
codec-U	U-element-u-varint	decode	drop	core-ffi/core-native	1.228	1.594	+29.8%	higher
codec-U	U-element-u-varint	decode	drop	core-ffi/inc	0.953	1.236	+29.7%	higher
codec-U	U-element-u-varint	decode	retain	core-ffi/core-native	1.298	1.789	+37.8%	higher
codec-U	U-element-u-varint	decode	retain	core-ffi/inc	1.050	1.436	+36.7%	higher
codec-U	U-element-u-varint	decode-read	drop	core-ffi/core-native	1.396	1.773	+27.0%	higher
codec-U	U-element-u-varint	decode-read	drop	core-ffi/inc	1.088	1.373	+26.1%	higher
codec-U	U-element-u-varint	decode-read	retain	core-ffi/core-native	1.483	1.903	+28.3%	higher
codec-U	U-element-u-varint	decode-read	retain	core-ffi/inc	1.174	1.549	+31.9%	higher
codec-U	U-element-u-varint	encode	retain	core-ffi/core-native	1.940	1.573	-18.9%	lower
codec-U	U-element-u-varint	encode	retain	core-ffi/inc	0.467	0.391	-16.3%	lower
codec-U	U-enum-value-127	decode-read	drop	armonik/inc	1.354	1.246	-8.0%	lower
codec-U	U-enum-value-127	decode-read	drop	core-native/inc	1.218	1.064	-12.6%	lower
codec-U	U-enum-value-127	decode-read	retain	armonik/inc	1.354	1.246	-8.0%	lower
codec-U	U-enum-value-127	decode-read	retain	core-ffi/inc	1.640	1.440	-12.2%	lower
codec-U	U-enum-value-127	decode-read	retain	core-native/inc	1.204	1.049	-12.9%	lower
codec-U	U-enum-value-2147483647	decode-read	drop	core-ffi/core-native	1.106	1.341	+21.2%	higher
codec-U	U-enum-value-2147483647	decode-read	drop	core-native/inc	1.090	0.925	-15.1%	lower
codec-U	U-enum-value-2147483647	decode-read	retain	core-ffi/core-native	1.296	1.540	+18.8%	higher
codec-U	U-enum-value-2147483647	decode-read	retain	core-native/inc	1.084	0.906	-16.4%	lower
codec-U	U-enum-value-packed	decode	retain	core-native/inc	0.807	0.745	-7.7%	lower
codec-U	U-leaf-all	encode	retain	core-ffi/core-native	1.577	1.333	-15.5%	lower
codec-U	U-leaf-all	encode	retain	core-ffi/inc	0.508	0.426	-16.2%	lower
codec-U	U-leaf-u-fixed32	encode	retain	core-ffi/core-native	1.719	1.365	-20.6%	lower
codec-U	U-leaf-u-fixed32	encode	retain	core-ffi/inc	0.450	0.372	-17.3%	lower
codec-U	U-leaf-u-fixed64	encode	retain	core-ffi/core-native	1.665	1.370	-17.7%	lower
codec-U	U-leaf-u-fixed64	encode	retain	core-ffi/inc	0.448	0.370	-17.3%	lower
codec-U	U-leaf-u-len	decode-read	drop	core-ffi/core-native	1.009	1.109	+9.8%	higher
codec-U	U-leaf-u-len	decode-read	drop	core-native/inc	0.794	0.749	-5.6%	lower
codec-U	U-leaf-u-len	decode-read	retain	core-native/inc	0.901	0.848	-5.8%	lower
codec-U	U-leaf-u-len	encode	retain	core-ffi/core-native	1.638	1.378	-15.8%	lower
codec-U	U-leaf-u-len	encode	retain	core-ffi/inc	0.454	0.375	-17.4%	lower
codec-U	U-leaf-u-msg	encode	retain	core-ffi/core-native	1.557	1.338	-14.1%	lower
codec-U	U-leaf-u-msg	encode	retain	core-ffi/inc	0.458	0.383	-16.4%	lower
codec-U	U-leaf-u-packed	encode	retain	core-ffi/core-native	1.701	1.390	-18.3%	lower
codec-U	U-leaf-u-packed	encode	retain	core-ffi/inc	0.454	0.366	-19.2%	lower
codec-U	U-leaf-u-repeated	encode	drop	core-ffi/core-native	2.038	1.597	-21.7%	lower
codec-U	U-leaf-u-repeated	encode	retain	core-ffi/inc	0.450	0.378	-16.1%	lower
codec-U	U-nested-all	decode-read	drop	core-native/inc	0.737	0.697	-5.4%	lower
codec-U	U-nested-all	encode	retain	core-ffi/core-native	1.934	1.423	-26.4%	lower
codec-U	U-nested-all	encode	retain	core-ffi/inc	0.490	0.382	-22.1%	lower
codec-U	U-nested-before	encode	retain	core-ffi/core-native	1.934	1.431	-26.0%	lower
codec-U	U-nested-before	encode	retain	core-ffi/inc	0.487	0.374	-23.1%	lower
codec-U	U-nested-group	encode	retain	core-ffi/core-native	1.662	1.405	-15.5%	lower
codec-U	U-nested-group	encode	retain	core-ffi/inc	0.443	0.371	-16.2%	lower
codec-U	U-nested-interleaved	decode-read	drop	core-ffi/core-native	1.063	1.166	+9.7%	higher
codec-U	U-nested-interleaved	encode	retain	core-ffi/core-native	1.844	1.413	-23.3%	lower
codec-U	U-nested-interleaved	encode	retain	core-ffi/inc	0.480	0.374	-22.0%	lower
codec-U	U-nested-u-fixed32	encode	retain	core-ffi/core-native	1.598	1.317	-17.6%	lower
codec-U	U-nested-u-fixed32	encode	retain	core-ffi/inc	0.435	0.361	-17.0%	lower
codec-U	U-nested-u-len	encode	retain	core-ffi/inc	0.445	0.353	-20.6%	lower
codec-U	U-nested-u-msg	encode	retain	core-ffi/core-native	1.622	1.349	-16.8%	lower
codec-U	U-nested-u-msg	encode	retain	core-ffi/inc	0.444	0.362	-18.4%	lower
codec-U	U-nested-u-packed	encode	retain	core-ffi/core-native	1.636	1.332	-18.6%	lower
codec-U	U-nested-u-packed	encode	retain	core-ffi/inc	0.440	0.358	-18.7%	lower
codec-U	U-nested-u-repeated	encode	retain	core-ffi/core-native	1.632	1.308	-19.9%	lower
codec-U	U-nested-u-repeated	encode	retain	core-ffi/inc	0.440	0.349	-20.6%	lower
codec-U	U-nested-u-varint	decode	drop	core-native/inc	0.721	0.750	+4.0%	higher
codec-U	U-nested-u-varint	decode-read	drop	core-native/inc	0.783	0.739	-5.6%	lower
codec-U	U-nested-u-varint	encode	retain	core-ffi/core-native	1.655	1.326	-19.9%	lower
codec-U	U-nested-u-varint	encode	retain	core-ffi/inc	0.445	0.357	-19.7%	lower
codec-U	U-oneof-all	decode	drop	core-ffi/core-native	1.326	1.187	-10.4%	lower
codec-U	U-oneof-all	decode	drop	core-ffi/inc	0.737	0.653	-11.3%	lower
codec-U	U-oneof-before	decode	drop	core-ffi-pull/inc	0.838	0.746	-10.9%	lower
codec-U	U-oneof-before	decode	drop	core-ffi/core-native	1.410	1.210	-14.2%	lower
codec-U	U-oneof-before	decode	drop	core-ffi/inc	0.788	0.676	-14.2%	lower
codec-U	U-oneof-before	decode-read	drop	core-ffi-pull/inc	0.865	0.750	-13.4%	lower
codec-U	U-oneof-before	decode-read	drop	core-ffi/inc	0.798	0.698	-12.6%	lower
codec-U	U-oneof-before	encode	retain	core-ffi/core-native	2.183	1.595	-27.0%	lower
codec-U	U-oneof-before	encode	retain	core-ffi/inc	0.502	0.411	-18.2%	lower
codec-U	U-oneof-group	encode	retain	core-ffi/core-native	2.198	1.833	-16.6%	lower
codec-U	U-oneof-group	encode	retain	core-ffi/inc	0.468	0.388	-17.1%	lower
codec-U	U-oneof-interleaved	decode-read	retain	core-native/inc	1.276	1.114	-12.7%	lower
codec-U	U-oneof-member-after-known	encode	retain	core-ffi/core-native	2.191	1.869	-14.7%	lower
codec-U	U-oneof-member-after-known	encode	retain	core-ffi/inc	0.482	0.405	-16.1%	lower
codec-U	U-oneof-member-alone	encode	retain	core-ffi/core-native	2.302	1.990	-13.5%	lower
codec-U	U-oneof-member-before-known	encode	retain	core-ffi/core-native	2.146	1.833	-14.6%	lower
codec-U	U-oneof-member-before-known	encode	retain	core-ffi/inc	0.474	0.386	-18.5%	lower
codec-U	U-oneof-u-fixed32	encode	retain	core-ffi/core-native	2.169	1.836	-15.4%	lower
codec-U	U-oneof-u-fixed32	encode	retain	core-ffi/inc	0.464	0.392	-15.7%	lower
codec-U	U-oneof-u-fixed64	decode-read	drop	core-ffi-pull/inc	1.073	0.960	-10.5%	lower
codec-U	U-oneof-u-fixed64	encode	retain	core-ffi/core-native	2.185	1.810	-17.2%	lower
codec-U	U-oneof-u-fixed64	encode	retain	core-ffi/inc	0.467	0.393	-15.8%	lower
codec-U	U-oneof-u-len	encode	retain	core-ffi/core-native	2.181	1.799	-17.5%	lower
codec-U	U-oneof-u-len	encode	retain	core-ffi/inc	0.479	0.399	-16.6%	lower
codec-U	U-oneof-u-packed	encode	retain	core-ffi/core-native	2.187	1.861	-14.9%	lower
codec-U	U-oneof-u-packed	encode	retain	core-ffi/inc	0.467	0.393	-15.8%	lower
codec-U	U-oneof-u-repeated	decode-read	drop	core-ffi/core-native	1.319	1.218	-7.6%	lower
codec-U	U-oneof-u-repeated	encode	retain	core-ffi/core-native	2.210	1.839	-16.8%	lower
codec-U	U-oneof-u-repeated	encode	retain	core-ffi/inc	0.468	0.394	-15.8%	lower
codec-U	U-oneof-u-varint	encode	retain	core-ffi/core-native	2.227	1.836	-17.6%	lower
codec-U	U-oneof-u-varint	encode	retain	core-ffi/inc	0.472	0.404	-14.5%	lower
codec-U	U-root-all	encode	retain	core-ffi/core-native	1.688	1.370	-18.9%	lower
codec-U	U-root-all	encode	retain	core-ffi/inc	0.368	0.298	-19.1%	lower
codec-U	U-root-before	decode-read	retain	core-native/inc	1.070	1.007	-5.9%	lower
codec-U	U-root-before	encode	drop	core-ffi/core-native	1.827	1.430	-21.7%	lower
codec-U	U-root-before	encode	retain	core-ffi/core-native	1.717	1.363	-20.7%	lower
codec-U	U-root-before	encode	retain	core-ffi/inc	0.368	0.295	-19.8%	lower
codec-U	U-root-group	decode-read	drop	core-native/inc	0.860	0.817	-5.0%	lower
codec-U	U-root-group	encode	retain	core-ffi/core-native	1.668	1.364	-18.3%	lower
codec-U	U-root-group	encode	retain	core-ffi/inc	0.366	0.301	-17.6%	lower
codec-U	U-root-interleaved	encode	drop	core-ffi/core-native	1.849	1.450	-21.6%	lower
codec-U	U-root-interleaved	encode	retain	core-ffi/core-native	1.722	1.376	-20.1%	lower
codec-U	U-root-interleaved	encode	retain	core-ffi/inc	0.369	0.298	-19.2%	lower
codec-U	U-root-max-tag	encode	retain	core-ffi/core-native	1.656	1.364	-17.6%	lower
codec-U	U-root-max-tag	encode	retain	core-ffi/inc	0.366	0.300	-18.0%	lower
codec-U	U-root-u-fixed32	decode	drop	core-native/inc	0.850	0.811	-4.5%	lower
codec-U	U-root-u-fixed32	encode	drop	core-ffi/core-native	1.873	1.441	-23.0%	lower
codec-U	U-root-u-fixed32	encode	drop	core-ffi/inc	0.358	0.277	-22.5%	lower
codec-U	U-root-u-fixed32	encode	retain	core-ffi/core-native	1.661	1.350	-18.7%	lower
codec-U	U-root-u-fixed32	encode	retain	core-ffi/inc	0.366	0.295	-19.3%	lower
codec-U	U-root-u-fixed64	encode	drop	core-ffi/core-native	1.856	1.447	-22.0%	lower
codec-U	U-root-u-fixed64	encode	retain	core-ffi/core-native	1.682	1.355	-19.4%	lower
codec-U	U-root-u-fixed64	encode	retain	core-ffi/inc	0.367	0.298	-18.7%	lower
codec-U	U-root-u-len	decode	drop	armonik/inc	1.059	1.007	-4.9%	lower
codec-U	U-root-u-len	decode	drop	core-native/inc	0.834	0.766	-8.3%	lower
codec-U	U-root-u-len	decode	retain	armonik/inc	1.059	1.007	-4.9%	lower
codec-U	U-root-u-len	decode	retain	core-native/inc	0.826	0.769	-6.9%	lower
codec-U	U-root-u-len	encode	retain	core-ffi/core-native	1.647	1.322	-19.7%	lower
codec-U	U-root-u-len	encode	retain	core-ffi/inc	0.366	0.295	-19.6%	lower
codec-U	U-root-u-msg	encode	retain	core-ffi/core-native	1.652	1.379	-16.5%	lower
codec-U	U-root-u-msg	encode	retain	core-ffi/inc	0.366	0.297	-19.0%	lower
codec-U	U-root-u-packed	decode	drop	core-ffi/core-native	0.985	1.071	+8.8%	higher
codec-U	U-root-u-packed	decode	drop	core-native/inc	0.834	0.789	-5.4%	lower
codec-U	U-root-u-packed	encode	retain	core-ffi/core-native	1.682	1.381	-17.9%	lower
codec-U	U-root-u-packed	encode	retain	core-ffi/inc	0.369	0.307	-16.8%	lower
codec-U	U-root-u-repeated	decode	drop	core-native/inc	0.846	0.796	-5.9%	lower
codec-U	U-root-u-repeated	encode	retain	core-ffi/core-native	1.679	1.369	-18.4%	lower
codec-U	U-root-u-repeated	encode	retain	core-ffi/inc	0.374	0.301	-19.5%	lower
codec-U	U-root-u-varint	encode	retain	core-ffi/core-native	1.677	1.358	-19.0%	lower
codec-U	U-root-u-varint	encode	retain	core-ffi/inc	0.368	0.298	-19.0%	lower
codec-U	U-wire-DualResponse-left-as-wt0	encode	retain	core-ffi/core-native	1.561	1.317	-15.6%	lower
codec-U	U-wire-DualResponse-left-as-wt1	encode	retain	core-ffi/core-native	1.574	1.344	-14.6%	lower
codec-U	U-wire-DualResponse-left-as-wt5	encode	retain	core-ffi/core-native	1.557	1.327	-14.8%	lower
codec-U	U-wire-ListProbeResponse-probes-as-wt0	encode	retain	core-ffi/core-native	2.062	1.738	-15.7%	lower
codec-U	U-wire-ListProbeResponse-probes-as-wt1	encode	retain	core-ffi/core-native	2.082	1.716	-17.6%	lower
codec-U	U-wire-ListProbeResponse-probes-as-wt5	encode	retain	core-ffi/core-native	2.036	1.693	-16.9%	lower
codec-U	U-wire-ListResultsResponse-page-as-wt1	encode	retain	core-ffi/core-native	1.682	1.362	-19.0%	lower
codec-U	U-wire-ListResultsResponse-page-as-wt2	encode	drop	core-ffi/core-native	1.861	1.452	-22.0%	lower
codec-U	U-wire-ListResultsResponse-page-as-wt2	encode	retain	core-ffi/core-native	1.687	1.343	-20.4%	lower
codec-U	U-wire-ListResultsResponse-page-as-wt5	encode	drop	core-ffi/core-native	1.792	1.407	-21.5%	lower
codec-U	U-wire-ListResultsResponse-page-as-wt5	encode	retain	core-ffi/core-native	1.684	1.355	-19.5%	lower
codec-U	U-wire-ListResultsResponse-results-as-wt0	encode	retain	core-ffi/core-native	1.701	1.360	-20.0%	lower
codec-U	U-wire-ListResultsResponse-results-as-wt1	encode	retain	core-ffi/core-native	1.672	1.346	-19.5%	lower
codec-U	U-wire-ListResultsResponse-results-as-wt5	encode	drop	core-ffi/core-native	1.819	1.409	-22.5%	lower
codec-U	U-wire-ListResultsResponse-results-as-wt5	encode	retain	core-ffi/core-native	1.666	1.362	-18.2%	lower
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt0	encode	drop	core-ffi/core-native	2.235	1.702	-23.9%	lower
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt0	encode	retain	core-ffi/core-native	1.990	1.564	-21.4%	lower
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	encode	drop	core-ffi/core-native	2.231	1.723	-22.8%	lower
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt1	encode	retain	core-ffi/core-native	1.980	1.610	-18.7%	lower
codec-U	U-wire-ListTaskSummaryResponse-tasks-as-wt5	encode	retain	core-ffi/core-native	2.036	1.667	-18.2%	lower
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode	drop	core-ffi/core-native	1.212	1.536	+26.7%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode	retain	core-ffi/core-native	1.219	1.587	+30.2%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode-read	drop	core-ffi/core-native	1.203	1.515	+25.9%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	decode-read	retain	core-ffi/core-native	1.212	1.522	+25.5%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt1	encode	retain	core-ffi/core-native	1.877	1.519	-19.0%	lower
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	decode	drop	core-ffi/core-native	1.217	1.545	+26.9%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	decode	retain	core-ffi/core-native	1.215	1.556	+28.1%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	decode-read	drop	core-ffi/core-native	1.196	1.500	+25.4%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	decode-read	retain	core-ffi/core-native	1.222	1.549	+26.8%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt2	encode	retain	core-ffi/core-native	1.889	1.541	-18.4%	lower
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode	drop	core-ffi/core-native	1.213	1.534	+26.5%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode	retain	core-ffi/core-native	1.217	1.594	+30.9%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode-read	drop	core-ffi/core-native	1.197	1.499	+25.2%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	decode-read	retain	core-ffi/core-native	1.188	1.563	+31.6%	higher
codec-U	U-wire-ListTasksDetailedResponse-page-as-wt5	encode	retain	core-ffi/core-native	1.873	1.513	-19.2%	lower
codec-U	U-wire-ListTasksDetailedResponse-tasks-as-wt0	decode	drop	core-ffi/core-native	1.233	1.551	+25.8%	higher
